Date,Close,fear_metric,rating,,,
2017-08-24,144.8,22.0,extreme_fear,,,
2017-08-25,144.35,29.0,fear,,,
2017-08-28,143.47,35.0,fear,,,
2017-08-29,142.55,29.0,fear,,,
2017-08-30,144.08,34.0,fear,,,
2017-08-31,145.31,43.0,fear,,,
2017-09-01,145.9,49.0,fear,,,
2017-09-05,144.55,62.0,greed,,,
2017-09-06,144.7,41.0,fear,,,
2017-09-07,144.28,38.0,fear,,,
2017-09-08,144.13,38.0,fear,,,
2017-09-11,145.85,59.0,greed,,,
2017-09-12,146.69,59.0,greed,,,
2017-09-13,147.04,67.0,greed,,,
2017-09-14,147.35,68.0,greed,,,
2017-09-15,146.55,77.0,extreme_greed,,,
2017-09-18,146.88,80.0,extreme_greed,,,
2017-09-19,146.99,81.0,extreme_greed,,,
2017-09-20,146.97,79.0,extreme_greed,,,
2017-09-21,147.25,73.0,greed,,,
2017-09-22,147.0,70.0,greed,,,
2017-09-25,147.84,72.0,greed,,,
2017-09-26,148.68,67.0,greed,,,
2017-09-27,149.57,73.0,greed,,,
2017-09-28,149.25,79.0,extreme_greed,,,
2017-09-29,149.4,84.0,extreme_greed,,,
2017-10-02,150.79,91.0,extreme_greed,,,
2017-10-03,150.94,92.0,extreme_greed,,,
2017-10-04,150.96,91.0,extreme_greed,,,
2017-10-05,151.97,94.0,extreme_greed,,,
2017-10-06,151.58,92.0,extreme_greed,,,
2017-10-09,151.45,84.0,extreme_greed,,,
2017-10-10,151.07,85.0,extreme_greed,,,
2017-10-11,150.95,83.0,extreme_greed,,,
2017-10-12,150.86,79.0,extreme_greed,,,
2017-10-13,151.32,74.0,greed,,,
2017-10-16,151.94,78.0,extreme_greed,,,
2017-10-17,152.34,78.0,extreme_greed,,,
2017-10-18,152.27,82.0,extreme_greed,,,
2017-10-19,151.5,83.0,extreme_greed,,,
2017-10-20,152.53,89.0,extreme_greed,,,
2017-10-23,152.65,80.0,extreme_greed,,,
2017-10-24,152.55,75.0,greed,,,
2017-10-25,151.32,75.0,greed,,,
2017-10-26,152.89,71.0,greed,,,
2017-10-27,155.18,74.0,greed,,,
2017-10-30,154.58,65.0,greed,,,
2017-10-31,154.46,69.0,greed,,,
2017-11-01,155.24,69.0,greed,,,
2017-11-02,154.63,66.0,greed,,,
2017-11-03,155.55,66.0,greed,,,
2017-11-06,156.09,58.0,greed,,,
2017-11-07,156.2,61.0,greed,,,
2017-11-08,156.38,54.0,greed,,,
2017-11-09,155.25,54.0,greed,,,
2017-11-10,154.62,59.0,greed,,,
2017-11-13,154.27,49.0,fear,,,
2017-11-14,152.83,49.0,fear,,,
2017-11-15,151.43,36.0,fear,,,
2017-11-16,152.95,50.0,neutral,,,
2017-11-17,152.63,44.0,fear,,,
2017-11-20,153.26,51.0,greed,,,
2017-11-21,154.43,54.0,greed,,,
2017-11-22,153.86,54.0,greed,,,
2017-11-27,152.59,51.0,greed,,,
2017-11-28,154.06,60.0,greed,,,
2017-11-29,154.27,67.0,greed,,,
2017-11-30,154.17,73.0,greed,,,
2017-12-01,154.32,70.0,greed,,,
2017-12-04,154.59,64.0,greed,,,
2017-12-05,154.37,60.0,greed,,,
2017-12-06,154.52,62.0,greed,,,
2017-12-07,154.93,60.0,greed,,,
2017-12-08,156.18,62.0,greed,,,
2017-12-11,156.18,62.0,greed,,,
2017-12-12,157.23,67.0,greed,,,
2017-12-13,156.92,67.0,greed,,,
2017-12-14,156.19,69.0,greed,,,
2017-12-15,156.92,68.0,greed,,,
2017-12-18,157.69,74.0,greed,,,
2017-12-19,157.14,72.0,greed,,,
2017-12-20,156.12,72.0,greed,,,
2017-12-21,156.82,68.0,greed,,,
2017-12-22,157.08,66.0,greed,,,
2017-12-27,156.58,61.0,greed,,,
2017-12-28,156.3,58.0,greed,,,
2017-12-29,155.14,53.0,greed,,,
2018-01-02,155.58,67.0,greed,,,
2018-01-03,156.58,67.0,greed,,,
2018-01-04,157.27,72.0,greed,,,
2018-01-05,158.68,75.0,greed,,,
2018-01-08,159.57,75.0,greed,,,
2018-01-09,160.49,75.0,greed,,,
2018-01-10,159.83,75.0,greed,,,
2018-01-11,159.8,77.0,extreme_greed,,,
2018-01-12,159.35,79.0,extreme_greed,,,
2018-01-16,158.6,75.0,greed,,,
2018-01-17,159.17,75.0,greed,,,
2018-01-18,159.0,72.0,greed,,,
2018-01-19,159.97,80.0,extreme_greed,,,
2018-01-22,160.61,78.0,extreme_greed,,,
2018-01-23,160.71,78.0,extreme_greed,,,
2018-01-24,159.69,78.0,extreme_greed,,,
2018-01-25,158.27,77.0,extreme_greed,,,
2018-01-26,160.19,79.0,extreme_greed,,,
2018-01-29,160.12,62.0,greed,,,
2018-01-30,157.98,61.0,greed,,,
2018-01-31,157.35,61.0,greed,,,
2018-02-01,157.15,58.0,greed,,,
2018-02-02,154.65,17.0,extreme_fear,,,
2018-02-05,150.01,18.0,extreme_fear,,,
2018-02-06,150.61,18.0,extreme_fear,,,
2018-02-07,151.38,16.0,extreme_fear,,,
2018-02-08,147.79,10.0,extreme_fear,,,
2018-02-09,148.31,10.0,extreme_fear,,,
2018-02-12,149.81,13.0,extreme_fear,,,
2018-02-13,149.18,10.0,extreme_fear,,,
2018-02-14,150.38,15.0,extreme_fear,,,
2018-02-15,151.33,18.0,extreme_fear,,,
2018-02-16,152.22,18.0,extreme_fear,,,
2018-02-20,152.72,17.0,extreme_fear,,,
2018-02-21,152.42,15.0,extreme_fear,,,
2018-02-22,152.37,18.0,extreme_fear,,,
2018-02-23,154.37,18.0,extreme_fear,,,
2018-02-26,155.85,20.0,extreme_fear,,,
2018-02-27,155.09,17.0,extreme_fear,,,
2018-02-28,153.97,15.0,extreme_fear,,,
2018-03-01,152.18,8.0,extreme_fear,,,
2018-03-02,150.54,10.0,extreme_fear,,,
2018-03-05,151.55,14.0,extreme_fear,,,
2018-03-06,151.49,26.0,fear,,,
2018-03-07,151.34,23.0,extreme_fear,,,
2018-03-08,152.94,25.0,extreme_fear,,,
2018-03-09,154.81,44.0,fear,,,
2018-03-12,155.19,40.0,fear,,,
2018-03-13,153.52,36.0,fear,,,
2018-03-14,153.28,29.0,fear,,,
2018-03-15,153.7,21.0,extreme_fear,,,
2018-03-16,154.27,19.0,extreme_fear,,,
2018-03-19,151.94,14.0,extreme_fear,,,
2018-03-20,152.69,16.0,extreme_fear,,,
2018-03-21,152.63,16.0,extreme_fear,,,
2018-03-22,149.52,11.0,extreme_fear,,,
2018-03-23,146.25,7.0,extreme_fear,,,
2018-03-26,147.61,8.0,extreme_fear,,,
2018-03-27,147.22,6.0,extreme_fear,,,
2018-03-28,147.31,7.0,extreme_fear,,,
2018-03-29,149.24,8.0,extreme_fear,,,
2018-04-03,148.32,9.0,extreme_fear,,,
2018-04-04,148.94,11.0,extreme_fear,,,
2018-04-05,151.21,13.0,extreme_fear,,,
2018-04-06,148.81,9.0,extreme_fear,,,
2018-04-09,148.84,12.0,extreme_fear,,,
2018-04-10,150.47,14.0,extreme_fear,,,
2018-04-11,149.5,18.0,extreme_fear,,,
2018-04-12,150.93,22.0,extreme_fear,,,
2018-04-13,150.68,23.0,extreme_fear,,,
2018-04-16,151.02,25.0,extreme_fear,,,
2018-04-17,152.48,28.0,fear,,,
2018-04-18,152.6,32.0,fear,,,
2018-04-19,152.2,32.0,fear,,,
2018-04-20,152.11,38.0,fear,,,
2018-04-23,152.66,40.0,fear,,,
2018-04-24,151.62,32.0,fear,,,
2018-04-25,151.83,38.0,fear,,,
2018-04-26,153.76,42.0,fear,,,
2018-04-27,154.21,40.0,fear,,,
2018-04-30,153.76,42.0,fear,,,
2018-05-02,154.68,39.0,fear,,,
2018-05-03,154.38,32.0,fear,,,
2018-05-04,156.04,40.0,fear,,,
2018-05-07,156.82,41.0,fear,,,
2018-05-08,157.46,49.0,fear,,,
2018-05-09,158.59,49.0,fear,,,
2018-05-10,159.38,53.0,greed,,,
2018-05-11,159.2,54.0,greed,,,
2018-05-14,159.2,54.0,greed,,,
2018-05-15,159.43,55.0,greed,,,
2018-05-16,160.71,53.0,greed,,,
2018-05-17,160.86,53.0,greed,,,
2018-05-18,160.83,52.0,greed,,,
2018-05-21,161.87,56.0,greed,,,
2018-05-22,161.44,59.0,greed,,,
2018-05-23,161.93,54.0,greed,,,
2018-05-24,161.27,48.0,fear,,,
2018-05-25,161.7,44.0,fear,,,
2018-05-29,160.87,34.0,fear,,,
2018-05-30,161.56,42.0,fear,,,
2018-05-31,160.18,43.0,fear,,,
2018-06-01,161.6,52.0,greed,,,
2018-06-04,162.11,55.0,greed,,,
2018-06-05,162.3,58.0,greed,,,
2018-06-06,162.09,65.0,greed,,,
2018-06-07,161.59,62.0,greed,,,
2018-06-08,162.42,63.0,greed,,,
2018-06-11,162.38,64.0,greed,,,
2018-06-12,162.76,65.0,greed,,,
2018-06-13,162.55,64.0,greed,,,
2018-06-14,164.42,63.0,greed,,,
2018-06-15,164.3,61.0,greed,,,
2018-06-18,163.7,61.0,greed,,,
2018-06-19,163.29,53.0,greed,,,
2018-06-20,163.57,57.0,greed,,,
2018-06-21,162.27,52.0,greed,,,
2018-06-22,162.53,52.0,greed,,,
2018-06-25,159.62,42.0,fear,,,
2018-06-26,160.11,47.0,fear,,,
2018-06-27,160.16,36.0,fear,,,
2018-06-28,160.67,39.0,fear,,,
2018-06-29,160.08,34.0,fear,,,
2018-07-02,160.47,35.0,fear,,,
2018-07-05,160.26,33.0,fear,,,
2018-07-06,160.87,40.0,fear,,,
2018-07-09,162.18,47.0,fear,,,
2018-07-10,163.08,45.0,fear,,,
2018-07-11,161.65,41.0,fear,,,
2018-07-12,163.18,49.0,fear,,,
2018-07-13,163.71,47.0,fear,,,
2018-07-16,163.01,45.0,fear,,,
2018-07-17,163.76,49.0,fear,,,
2018-07-18,164.63,56.0,greed,,,
2018-07-19,164.5,50.0,neutral,,,
2018-07-20,163.5,53.0,greed,,,
2018-07-23,163.57,58.0,greed,,,
2018-07-24,164.45,64.0,greed,,,
2018-07-25,165.74,70.0,greed,,,
2018-07-26,165.97,72.0,greed,,,
2018-07-27,165.63,67.0,greed,,,
2018-07-30,164.21,64.0,greed,,,
2018-07-31,164.74,66.0,greed,,,
2018-08-01,164.84,66.0,greed,,,
2018-08-02,165.59,68.0,greed,,,
2018-08-03,166.53,71.0,greed,,,
2018-08-06,167.15,72.0,greed,,,
2018-08-07,167.4,73.0,greed,,,
2018-08-08,167.19,74.0,greed,,,
2018-08-09,167.52,70.0,greed,,,
2018-08-10,167.71,56.0,greed,,,
2018-08-13,166.97,56.0,greed,,,
2018-08-14,168.39,58.0,greed,,,
2018-08-15,167.59,46.0,fear,,,
2018-08-16,167.68,51.0,greed,,,
2018-08-17,167.98,54.0,greed,,,
2018-08-20,168.2,61.0,greed,,,
2018-08-21,167.45,61.0,greed,,,
2018-08-22,166.64,61.0,greed,,,
2018-08-23,166.46,59.0,greed,,,
2018-08-24,166.66,68.0,greed,,,
2018-08-27,167.46,77.0,extreme_greed,,,
2018-08-28,167.05,78.0,extreme_greed,,,
2018-08-29,167.98,78.0,extreme_greed,,,
2018-08-30,167.8,73.0,greed,,,
2018-08-31,167.65,71.0,greed,,,
2018-09-04,167.92,67.0,greed,,,
2018-09-05,166.04,62.0,greed,,,
2018-09-06,165.3,53.0,greed,,,
2018-09-07,165.48,52.0,greed,,,
2018-09-10,165.58,56.0,greed,,,
2018-09-11,166.24,59.0,greed,,,
2018-09-12,166.07,59.0,greed,,,
2018-09-13,166.15,72.0,greed,,,
2018-09-14,166.57,73.0,greed,,,
2018-09-17,165.77,67.0,greed,,,
2018-09-18,166.52,73.0,greed,,,
2018-09-19,167.39,71.0,greed,,,
2018-09-20,167.62,74.0,greed,,,
2018-09-21,167.81,75.0,greed,,,
2018-09-24,166.87,70.0,greed,,,
2018-09-25,167.02,64.0,greed,,,
2018-09-26,167.25,53.0,greed,,,
2018-09-27,168.24,48.0,fear,,,
2018-09-28,168.77,47.0,fear,,,
2018-10-01,169.53,49.0,fear,,,
2018-10-02,169.61,45.0,fear,,,
2018-10-03,169.85,51.0,greed,,,
2018-10-04,168.71,43.0,fear,,,
2018-10-05,167.76,33.0,fear,,,
2018-10-08,167.7,28.0,fear,,,
2018-10-09,167.35,23.0,extreme_fear,,,
2018-10-10,162.61,8.0,extreme_fear,,,
2018-10-11,158.82,5.0,extreme_fear,,,
2018-10-12,160.24,11.0,extreme_fear,,,
2018-10-15,159.23,11.0,extreme_fear,,,
2018-10-16,162.11,13.0,extreme_fear,,,
2018-10-17,162.7,14.0,extreme_fear,,,
2018-10-18,161.31,12.0,extreme_fear,,,
2018-10-19,161.05,14.0,extreme_fear,,,
2018-10-22,160.71,16.0,extreme_fear,,,
2018-10-23,159.33,12.0,extreme_fear,,,
2018-10-24,156.66,6.0,extreme_fear,,,
2018-10-25,158.29,9.0,extreme_fear,,,
2018-10-26,156.47,7.0,extreme_fear,,,
2018-10-29,155.76,7.0,extreme_fear,,,
2018-10-30,157.83,7.0,extreme_fear,,,
2018-10-31,160.25,7.0,extreme_fear,,,
2018-11-01,160.82,6.0,extreme_fear,,,
2018-11-02,160.76,8.0,extreme_fear,,,
2018-11-05,160.76,9.0,extreme_fear,,,
2018-11-06,161.32,12.0,extreme_fear,,,
2018-11-07,163.21,25.0,extreme_fear,,,
2018-11-08,163.74,29.0,fear,,,
2018-11-09,163.27,18.0,extreme_fear,,,
2018-11-12,162.02,11.0,extreme_fear,,,
2018-11-13,161.45,10.0,extreme_fear,,,
2018-11-14,160.15,7.0,extreme_fear,,,
2018-11-15,160.94,10.0,extreme_fear,,,
2018-11-16,160.31,10.0,extreme_fear,,,
2018-11-19,157.75,8.0,extreme_fear,,,
2018-11-20,155.76,7.0,extreme_fear,,,
2018-11-21,156.62,13.0,extreme_fear,,,
2018-11-26,158.55,17.0,extreme_fear,,,
